2018 Lexus GX 460 Base,"37,117 mi.","$35,000",Great,Used
2018 Lexus GX 460 Base,"37,118 mi.","$37,995",Good,Used
2018 Lexus GX 460 460,"52,830 mi.","$36,995",Good,Used
2018 Lexus GX 460 Luxury,"68,440 mi.","$37,000",Good,Used
2018 Lexus GX 460 460,"19,302 mi.","$43,995",Good,Used
2018 Lexus GX 460 Base,"50,324 mi.","$36,999",Good,Used
2018 Lexus GX 460 Base,"35,084 mi.","$36,998",Good,Used
2018 Lexus GX 460 460,"53,640 mi.","$32,950",Good,Used
2018 Lexus GX 460 460,"80,311 mi.","$29,500",Good,Used
2018 Lexus GX 460 Luxury,"78,891 mi.","$33,488",Good,Used
2018 Lexus GX 460 Base,"85,401 mi.","$30,595",Good,Used
2018 Lexus GX 460 Base,"73,021 mi.","$31,499",Good,Used
2018 Lexus GX 460 Luxury,"85,873 mi.","$36,000",Good,Used
2018 Lexus GX 460 Base,"107,622 mi.","$27,331",Good,Used
2018 Lexus GX 460 Base,"114,195 mi.","$26,897",Good,Used
2018 Lexus GX 460 Base,"100,961 mi.","$28,430",Good,Used
2018 Lexus GX 460 GX 460,"50,286 mi.","$30,900",Great,Used
2018 Lexus GX 460 Base,"56,450 mi.","$31,500",Good,Used
2018 Lexus GX 460 Base,"75,714 mi.","$29,988",Good,Used
2018 Lexus GX 460 Luxury,"43,180 mi.","$36,990",Great,Used
2018 Lexus GX 460 Base,"42,711 mi.","$33,895",Good,Used
2018 Lexus GX 460 Base,"28,281 mi.","$36,873",Good,Used
2018 Lexus GX 460 Base,"58,822 mi.","$32,900",Good,Used
2018 Lexus GX 460 Base,"42,936 mi.","$35,998",Good,Used
2018 Lexus GX 460 Luxury,"51,034 mi.","$36,991",Good,Used
2018 Lexus GX 460 Luxury,"46,997 mi.","$39,881",Good,Used
2018 Lexus GX 460 Base,"62,409 mi.","$30,999",Good,Used
2018 Lexus GX 460 GX 460 4WD,"66,436 mi.","$33,998",Fair,Used
None,"47,120 mi.","$41,000",Great,Used
2018 Lexus GX 460 Luxury,"81,000 mi.","$29,999",Great,Used
2018 Lexus GX 460 460,"70,499 mi.","$34,500",None,Used
2018 Lexus GX 460 Luxury,"85,770 mi.","$33,850",Good,Used
2018 Lexus GX 460 Luxury,"78,119 mi.","$34,499",Good,Used
2018 Lexus GX 460 Base,"88,419 mi.","$30,990",Good,Used
2018 Lexus GX 460,"93,274 mi.","$30,798",Good,Used
2018 Lexus GX 460 GX 460 Premium,"77,723 mi.","$29,900",Good,Used
2018 Lexus GX 460 Base,"96,753 mi.","$28,955",Good,Used
2018 Lexus GX 460 Luxury,"82,050 mi.","$34,993",Good,Used
2018 Lexus GX 460 Base,"47,660 mi.","$33,055",Good,Used
2018 Lexus GX 460 Base,"56,412 mi.","$32,995",Good,Used
2018 Lexus GX 460 Base,"107,039 mi.","$26,997",Good,Used
2018 Lexus GX 460 Base,"79,138 mi.","$33,493",Good,Used
2018 Lexus GX 460 Base,"56,417 mi.","$33,738",Good,Used
2018 Lexus GX 460 Premium,"88,110 mi.","$32,940",Good,Used
2018 Lexus GX 460 Base,"53,192 mi.","$33,998",Good,Used
2018 Lexus GX 460 460,"88,104 mi.","$30,700",Good,Used
2018 Lexus GX 460 Base,"116,096 mi.","$27,988",Good,Used
