Title,Miles,Price,Deal,Stock,Year,Make,Model,Sub_Model
2015 Lexus GX 460 460,117697,22948,Good,Used,2015,Lexus,GX 460 460,Base
2015 Lexus GX 460 Luxury,191905,20650,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 Base,67500,28200,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,165198,20777,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 460,93334,24500,Good,Used,2015,Lexus,GX 460 460,Base
2015 Lexus GX 460 Base,86917,27281,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,165282,18500,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,120000,22995,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Luxury,73500,30274,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 460,138469,24995,Fair,Used,2015,Lexus,GX 460 460,Base
2015 Lexus GX 460 4WD 4dr,101007,20900,Good,Used,2015,Lexus,GX 460 4WD 4dr,Base
2015 Lexus GX 460 Base,91000,28200,Fair,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460,139557,23498,Good,Used,2015,Lexus,GX 460,Base
2015 Lexus GX 460 Luxury,135383,22990,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 Base,86249,24998,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 460,132628,18995,Great,Used,2015,Lexus,GX 460 460,Base
2015 Lexus GX 460 Base,135390,25900,Fair,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 460,128583,21174,Good,Used,2015,Lexus,GX 460 460,Base
2015 Lexus GX 460 Base,125035,19988,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Luxury,136138,22999,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 Base,104988,29888,Fair,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Luxury,115594,23998,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 Luxury,128242,24999,Great,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 4WD 4dr,94170,27950,Good,Used,2015,Lexus,GX 460 4WD 4dr,Base
2015 Lexus GX 460 Luxury,62779,33990,Fair,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 Luxury,113020,25990,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 Base,107527,24998,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 460,104340,27000,Good,Used,2015,Lexus,GX 460 460,Base
2015 Lexus GX 460 Base,138118,25990,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,68209,32240,Fair,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,79762,25998,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,171747,23777,Fair,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 GX 460 Sport Utility 4D,106099,23367,Good,Used,2015,Lexus,GX 460 GX 460 Sport Utility 4D,Base
2015 Lexus GX 460 Base AWD 4dr SUV,131400,21988,Fair,Used,2015,Lexus,GX 460 Base AWD 4dr SUV,Base
2015 Lexus GX 460 Base,62391,29995,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Luxury,77985,28699,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 Base,101153,25995,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 460,141756,21700,Good,Used,2015,Lexus,GX 460 460,Base
2015 Lexus GX 460 Base,97908,24977,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Base,134788,23500,Good,Used,2015,Lexus,GX 460 Base,Base
2015 Lexus GX 460 Luxury,101103,27718,Good,Used,2015,Lexus,GX 460 Luxury,Luxury
2015 Lexus GX 460 Luxury,111336,26998,Fair,Used,2015,Lexus,GX 460 Luxury,Luxury
2016 Lexus GX 460 Base,171947,23397,Fair,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 Base,154637,20500,Good,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 Base,83113,29950,None,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 4WD,87150,27000,None,Used,2016,Lexus,GX 460 4WD,Base
2016 Lexus GX 460 Base,152761,19997,Good,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 GX 460 Sport Utility 4D,79360,25995,Good,Used,2016,Lexus,GX 460 GX 460 Sport Utility 4D,Base
2016 Lexus GX 460 Luxury,80782,29998,Good,Used,2016,Lexus,GX 460 Luxury,Luxury
2016 Lexus GX 460 Base,98668,26948,Good,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 Base,58957,29999,Good,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 Base (A6),94869,27497,Good,Used,2016,Lexus,GX 460 Base (A6),Base
2016 Lexus GX 460 Base (A6),168551,22995,Good,Used,2016,Lexus,GX 460 Base (A6),Base
2016 Lexus GX 460 Base,56263,26700,Good,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 Base,106459,23995,Good,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 460,45840,32595,Good,Used,2016,Lexus,GX 460 460,Base
2016 Lexus GX 460 Base,75304,28965,Good,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 Base (A6),79037,30000,Great,Used,2016,Lexus,GX 460 Base (A6),Base
2016 Lexus GX 460 Base,56463,31559,Good,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 GX 460 Sport Utility 4D,70193,29995,Good,Used,2016,Lexus,GX 460 GX 460 Sport Utility 4D,Base
2016 Lexus GX 460 Luxury,82595,27784,Good,Used,2016,Lexus,GX 460 Luxury,Luxury
2016 Lexus GX 460 Base,113464,25900,Good,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 Base,94073,24995,Good,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 Base,118088,26998,Good,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 Base,74944,25499,Good,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 Base AWD 4dr SUV,79000,25250,Good,Used,2016,Lexus,GX 460 Base AWD 4dr SUV,Base
2016 Lexus GX 460,140551,22885,Good,Used,2016,Lexus,GX 460,Base
2016 Lexus GX 460 Luxury,129435,21544,Good,Used,2016,Lexus,GX 460 Luxury,Luxury
2016 Lexus GX 460 Base,135875,24627,Good,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 Luxury,67564,31841,Good,Used,2016,Lexus,GX 460 Luxury,Luxury
2016 Lexus GX 460 Base,89804,22979,Great,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 Luxury,86162,29470,Good,Used,2016,Lexus,GX 460 Luxury,Luxury
2016 Lexus GX 460 4WD 4dr,111817,21490,Good,Used,2016,Lexus,GX 460 4WD 4dr,Base
2016 Lexus GX 460 Base,105560,26290,Good,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 Base,78783,27999,Good,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 Luxury,79650,24991,Fair,Used,2016,Lexus,GX 460 Luxury,Luxury
2016 Lexus GX 460 Luxury,118424,25555,Good,Used,2016,Lexus,GX 460 Luxury,Luxury
2016 Lexus GX 460 Base,51469,30140,Good,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 Base,73419,29998,Good,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 460,87965,25555,Good,Used,2016,Lexus,GX 460 460,Base
2016 Lexus GX 460 Base,65800,28400,Great,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 Base,73094,22500,Great,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 Base,151503,23295,Good,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 Luxury,86809,27000,Good,Used,2016,Lexus,GX 460 Luxury,Luxury
2016 Lexus GX 460,100019,25995,Good,Used,2016,Lexus,GX 460,Base
2016 Lexus GX 460 460,106649,22412,Good,Used,2016,Lexus,GX 460 460,Base
2016 Lexus GX 460 460,74827,27568,Good,Used,2016,Lexus,GX 460 460,Base
2016 Lexus GX 460 Base,94076,28250,Good,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 Base,99912,26998,Good,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 Luxury,84411,30495,Great,Used,2016,Lexus,GX 460 Luxury,Luxury
2016 Lexus GX 460 460,100772,26500,Great,Used,2016,Lexus,GX 460 460,Base
2016 Lexus GX 460 Luxury,57259,29991,Great,Used,2016,Lexus,GX 460 Luxury,Luxury
2016 Lexus GX 460 Luxury,83921,28998,Good,Used,2016,Lexus,GX 460 Luxury,Luxury
2016 Lexus GX 460 Base,87448,28999,Good,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 460,128288,24285,Good,Used,2016,Lexus,GX 460 460,Base
2016 Lexus GX 460 Base,135720,20495,Good,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 Base,115521,24888,Good,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 Base,81559,29998,Good,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 Base,42000,33777,Good,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 Base,54048,21999,None,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 Base,100331,25990,Good,Used,2016,Lexus,GX 460 Base,Base
2016 Lexus GX 460 Base,86552,26800,Good,Used,2016,Lexus,GX 460 Base,Base
